Title,Date,Link,Description,Bill_Number,PDF Link
"H.R. 133, Estimate for Division N—Additional Coronavirus Response and Relief Consolidated Appropriations Act, 2021 Public Law 116-260","Thu, 14 Jan 2021 13:58:00 -0500",https://www.cbo.gov/publication/56961,"As enacted on December 27, 2020
",H.R. 133,https://www.cbo.gov//system/files/2021-01/PL_116-260_div_N.pdf
"H.R. 133, Estimate for Divisions O Through FF  Consolidated Appropriations Act, 2021 Public Law 116-260","Thu, 14 Jan 2021 13:58:00 -0500",https://www.cbo.gov/publication/56962,"As enacted on December 27, 2020
",H.R. 133,https://www.cbo.gov//system/files/2021-01/PL_116-260_div%20O-FF.pdf
"H.R. 133, Summary Estimate for Divisions M Through FF  Consolidated Appropriations Act, 2021 Public Law 116-260","Thu, 14 Jan 2021 13:58:00 -0500",https://www.cbo.gov/publication/56963,"As enacted on December 27, 2020
",H.R. 133,https://www.cbo.gov//system/files/2021-01/PL_116-260_Summary.pdf
"H.R. 2564, Medicare Enrollment Protection Act","Thu, 24 Dec 2020 16:04:00 -0500",https://www.cbo.gov/publication/56920,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 2564,https://www.cbo.gov//system/files/2020-12/hr2564.pdf
"S. 4884, COVID–19 Home Safety Act of 2020","Thu, 24 Dec 2020 16:04:00 -0500",https://www.cbo.gov/publication/56918,"As reported by the Senate Committee on Commerce, Science, and Transportation on December 15, 2020
",S. 4884,https://www.cbo.gov//system/files/2020-12/s4884.pdf
"H.R. 945, Mental Health Access Improvement Act of 2019","Thu, 24 Dec 2020 16:04:00 -0500",https://www.cbo.gov/publication/56919,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 945,https://www.cbo.gov//system/files/2020-12/hr945_0.pdf
"H.R. 8158, a bill to amend title XVIII of the Social Security Act to waive budget neutrality for oxygen under the Medicare program, and for other purposes","Thu, 24 Dec 2020 16:02:00 -0500",https://www.cbo.gov/publication/56921,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 8158,https://www.cbo.gov//system/files/2020-12/hr8158.pdf
"H.R. 1379, Ensuring Lasting Smiles Act","Thu, 24 Dec 2020 16:00:00 -0500",https://www.cbo.gov/publication/56922,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 1379,https://www.cbo.gov//system/files/2020-12/hr1379.pdf
"H.R. 2281, Easy MAT for Opioid Addiction Act","Thu, 24 Dec 2020 16:00:00 -0500",https://www.cbo.gov/publication/56923,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 2281,https://www.cbo.gov//system/files/2020-12/hr2281.pdf
"H.R. 3797, Medical Marijuana Research Act","Thu, 24 Dec 2020 16:00:00 -0500",https://www.cbo.gov/publication/56924,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 3797,https://www.cbo.gov//system/files/2020-12/hr3797.pdf
"H.R. 4078, EARLY Act Reauthorization of 2019","Thu, 24 Dec 2020 16:00:00 -0500",https://www.cbo.gov/publication/56925,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 4078,https://www.cbo.gov//system/files/2020-12/hr4078.pdf
"H.R. 4764, TRANSPLANT Act of 2019","Thu, 24 Dec 2020 16:00:00 -0500",https://www.cbo.gov/publication/56926,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 4764,https://www.cbo.gov//system/files/2020-12/hr4764.pdf
"H.R. 5855, Bipartisan Solution to Cyclical Violence Act of 2020","Thu, 24 Dec 2020 16:00:00 -0500",https://www.cbo.gov/publication/56927,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 5855,https://www.cbo.gov//system/files/2020-12/hr5855.pdf
"H.R. 3131, South Asian Heart Health Awareness and Research Act of 2020","Thu, 24 Dec 2020 16:00:00 -0500",https://www.cbo.gov/publication/56928,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 3131,https://www.cbo.gov//system/files/2020-12/hr3131.pdf
"H.R. 3539, Behavioral Intervention Guidelines Act of 2019","Thu, 24 Dec 2020 15:59:00 -0500",https://www.cbo.gov/publication/56937,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 3539,https://www.cbo.gov//system/files/2020-12/hr3539.pdf
"H.R. 7948, Tribal Health Data Improvement Act of 2020","Thu, 24 Dec 2020 15:59:00 -0500",https://www.cbo.gov/publication/56929,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 7948,https://www.cbo.gov//system/files/2020-12/hr7948.pdf
"H.R. 2466, State Opioid Response Grant Authorization Act","Thu, 24 Dec 2020 15:59:00 -0500",https://www.cbo.gov/publication/56930,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 2466,https://www.cbo.gov//system/files/2020-12/hr2466.pdf
"H.R. 2519, Improving Mental Health Access from the Emergency Department Act of 2019","Thu, 24 Dec 2020 15:59:00 -0500",https://www.cbo.gov/publication/56931,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 2519,https://www.cbo.gov//system/files/2020-12/hr2519.pdf
"H.R. 4861, Effective Suicide Screening and Assessment in the Emergency Department Act of 2019","Thu, 24 Dec 2020 15:59:00 -0500",https://www.cbo.gov/publication/56932,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 4861,https://www.cbo.gov//system/files/2020-12/hr4861.pdf
"H.R. 1109, Mental Health Services for Students Act","Thu, 24 Dec 2020 15:59:00 -0500",https://www.cbo.gov/publication/56933,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 1109,https://www.cbo.gov//system/files/2020-12/hr1109.pdf
"H.R. 2075, School-Based Health Centers Reauthorization Act of 2019","Thu, 24 Dec 2020 15:56:00 -0500",https://www.cbo.gov/publication/56936,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 2075,https://www.cbo.gov//system/files/2020-12/hr2075.pdf
"H.R. 7293, STANDUP Act of 2020","Thu, 24 Dec 2020 15:56:00 -0500",https://www.cbo.gov/publication/56938,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 7293,https://www.cbo.gov//system/files/2020-12/hr7293.pdf
